loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.84639 0.00000  0.73369 0.06250
   1  0.70743 0.00000  0.66995 0.06139
   2  0.66701 0.00000  0.64500 0.06105
   3  0.64991 0.00000  0.63261 0.06091
   4  0.63911 0.00000  0.62562 0.06084
   5  0.63236 0.00000  0.62137 0.06077
   6  0.62940 0.00000  0.61857 0.06070
   7  0.63202 0.00000  0.61694 0.06067
   8  0.62571 0.00000  0.61562 0.06064
   9  0.62345 0.00000  0.61462 0.06061
  10  0.62204 0.00000  0.61392 0.06058
  11  0.62502 0.00000  0.61345 0.06054
  12  0.62509 0.00000  0.61307 0.06052
  13  0.62710 0.00000  0.61281 0.06050
  14  0.62328 0.00000  0.61261 0.06047
  15  0.62539 0.00000  0.61253 0.06045
  16  0.62449 0.00000  0.61223 0.06043
  17  0.62213 0.00000  0.61217 0.06041
  18  0.61847 0.00000  0.61192 0.06040
  19  0.62388 0.00000  0.61186 0.06039
  20  0.62039 0.00000  0.61180 0.06038
  21  0.61432 0.00000  0.61162 0.06036
  22  0.62203 0.00000  0.61162 0.06034
  23  0.61927 0.00000  0.61153 0.06032
  24  0.62230 0.00000  0.61151 0.06030
  25  0.62423 0.00000  0.61146 0.06029
  26  0.62120 0.00000  0.61141 0.06027
  27  0.61978 0.00000  0.61137 0.06026
  28  0.61910 0.00000  0.61128 0.06024
  29  0.62125 0.00000  0.61124 0.06022
  30  0.61745 0.00000  0.61122 0.06022
  31  0.61951 0.00000  0.61114 0.06020
  32  0.61602 0.00000  0.61113 0.06018
  33  0.61723 0.00000  0.61105 0.06017
  34  0.62332 0.00000  0.61108 0.06015
  35  0.61840 0.00000  0.61108 0.06014
  36  0.62463 0.00000  0.61107 0.06013
  37  0.62104 0.00000  0.61107 0.06012
  38  0.61888 0.00000  0.61099 0.06009
  39  0.62163 0.00000  0.61106 0.06007
  40  0.62313 0.00000  0.61098 0.06006
  41  0.62058 0.00000  0.61101 0.06005
  42  0.62321 0.00000  0.61099 0.06003
  43  0.62163 0.00000  0.61094 0.06002
  44  0.61969 0.00000  0.61091 0.06001
  45  0.61563 0.00000  0.61083 0.06001
  46  0.61383 0.00000  0.61081 0.06000
  47  0.61875 0.00000  0.61087 0.05999
  48  0.62470 0.00000  0.61084 0.05998
  49  0.62606 0.00000  0.61083 0.05996
  50  0.62135 0.00000  0.61078 0.05995
  51  0.62096 0.00000  0.61084 0.05994
  52  0.62040 0.00000  0.61078 0.05993
  53  0.61416 0.00000  0.61070 0.05992
  54  0.62853 0.00000  0.61073 0.05990
  55  0.61710 0.00000  0.61074 0.05990
  56  0.62115 0.00000  0.61071 0.05989
  57  0.62070 0.00000  0.61064 0.05988
  58  0.61479 0.00000  0.61060 0.05987
  59  0.61765 0.00000  0.61068 0.05985
  60  0.62155 0.00000  0.61068 0.05984
  61  0.61906 0.00000  0.61063 0.05983
  62  0.61673 0.00000  0.61059 0.05983
  63  0.62156 0.00000  0.61065 0.05982
  64  0.61679 0.00000  0.61065 0.05980
  65  0.62333 0.00000  0.61064 0.05980
  66  0.61889 0.00000  0.61060 0.05979
  67  0.61709 0.00000  0.61046 0.05979
  68  0.62068 0.00000  0.61047 0.05977
  69  0.62341 0.00000  0.61049 0.05976
  70  0.61623 0.00000  0.61043 0.05975
  71  0.62174 0.00000  0.61043 0.05974
  72  0.61905 0.00000  0.61043 0.05974
  73  0.62003 0.00000  0.61043 0.05974
  74  0.61867 0.00000  0.61046 0.05973
  75  0.62510 0.00000  0.61049 0.05971
  76  0.61815 0.00000  0.61036 0.05971
  77  0.61782 0.00000  0.61039 0.05969
  78  0.61731 0.00000  0.61036 0.05969
  79  0.61857 0.00000  0.61042 0.05968
  80  0.62194 0.00000  0.61041 0.05967
  81  0.62176 0.00000  0.61035 0.05966
  82  0.62080 0.00000  0.61035 0.05965
  83  0.61846 0.00000  0.61035 0.05964
  84  0.61845 0.00000  0.61029 0.05963
  85  0.62127 0.00000  0.61026 0.05961
  86  0.62273 0.00000  0.61030 0.05961
  87  0.61901 0.00000  0.61030 0.05961
  88  0.61368 0.00000  0.61023 0.05961
  89  0.62171 0.00000  0.61029 0.05960
  90  0.61524 0.00000  0.61023 0.05960
  91  0.62240 0.00000  0.61027 0.05959
  92  0.61563 0.00000  0.61022 0.05958
  93  0.62389 0.00000  0.61024 0.05957
  94  0.61715 0.00000  0.61022 0.05956
  95  0.62162 0.00000  0.61026 0.05956
  96  0.61720 0.00000  0.61028 0.05956
  97  0.62071 0.00000  0.61037 0.05954
  98  0.62141 0.00000  0.61030 0.05954
  99  0.61192 0.00000  0.61015 0.05954
 100  0.61950 0.00000  0.61017 0.05953
 101  0.62085 0.00000  0.61018 0.05952
 102  0.61991 0.00000  0.61018 0.05952
 103  0.62122 0.00000  0.61018 0.05951
 104  0.61958 0.00000  0.61015 0.05951
 105  0.61732 0.00000  0.61014 0.05951
 106  0.61458 0.00000  0.61009 0.05950
 107  0.61469 0.00000  0.61006 0.05949
 108  0.61827 0.00000  0.61004 0.05949
 109  0.62103 0.00000  0.61010 0.05948
 110  0.62039 0.00000  0.61014 0.05947
 111  0.62003 0.00000  0.61015 0.05946
 112  0.62237 0.00000  0.61018 0.05946
 113  0.62156 0.00000  0.61016 0.05946
 114  0.62025 0.00000  0.61009 0.05946
 115  0.61889 0.00000  0.61005 0.05945
 116  0.60707 0.00000  0.60998 0.05944
 117  0.61925 0.00000  0.60998 0.05944
 118  0.61843 0.00000  0.60995 0.05944
 119  0.62014 0.00000  0.61000 0.05942
 120  0.61329 0.00000  0.60992 0.05942
 121  0.62208 0.00000  0.60996 0.05941
 122  0.62130 0.00000  0.60996 0.05940
 123  0.61820 0.00000  0.60992 0.05940
 124  0.61841 0.00000  0.60989 0.05939
 125  0.61720 0.00000  0.60986 0.05938
 126  0.61732 0.00000  0.60988 0.05937
 127  0.61225 0.00000  0.60988 0.05938
 128  0.62042 0.00000  0.60984 0.05937
 129  0.61960 0.00000  0.60989 0.05936
 130  0.61257 0.00000  0.60985 0.05936
 131  0.62228 0.00000  0.60986 0.05935
 132  0.61791 0.00000  0.60986 0.05934
 133  0.62395 0.00000  0.60988 0.05933
 134  0.61413 0.00000  0.60981 0.05932
 135  0.62269 0.00000  0.60985 0.05931
 136  0.62202 0.00000  0.60987 0.05930
 137  0.61468 0.00000  0.60975 0.05930
 138  0.62049 0.00000  0.60977 0.05929
 139  0.62055 0.00000  0.60975 0.05928
 140  0.62048 0.00000  0.60975 0.05927
 141  0.61696 0.00000  0.60975 0.05926
 142  0.61663 0.00000  0.60968 0.05926
 143  0.62424 0.00000  0.60972 0.05925
 144  0.61650 0.00000  0.60972 0.05924
 145  0.61580 0.00000  0.60971 0.05924
 146  0.61675 0.00000  0.60971 0.05924
 147  0.62305 0.00000  0.60975 0.05923
 148  0.62074 0.00000  0.60978 0.05922
 149  0.61983 0.00000  0.60980 0.05922
 150  0.61279 0.00000  0.60968 0.05921
 151  0.61724 0.00000  0.60971 0.05921
 152  0.61809 0.00000  0.60965 0.05920
 153  0.61299 0.00000  0.60959 0.05920
 154  0.61928 0.00000  0.60960 0.05919
 155  0.61544 0.00000  0.60957 0.05919
 156  0.61474 0.00000  0.60957 0.05919
 157  0.61180 0.00000  0.60951 0.05918
 158  0.62117 0.00000  0.60953 0.05918
 159  0.62143 0.00000  0.60957 0.05917
 160  0.62057 0.00000  0.60960 0.05917
 161  0.61556 0.00000  0.60959 0.05917
 162  0.61401 0.00000  0.60954 0.05916
 163  0.62406 0.00000  0.60962 0.05916
 164  0.62054 0.00000  0.60958 0.05915
 165  0.62012 0.00000  0.60961 0.05914
 166  0.62080 0.00000  0.60963 0.05913
 167  0.61768 0.00000  0.60965 0.05913
 168  0.62090 0.00000  0.60961 0.05912
 169  0.62151 0.00000  0.60958 0.05911
 170  0.61862 0.00000  0.60958 0.05910
 171  0.61674 0.00000  0.60955 0.05910
 172  0.62024 0.00000  0.60957 0.05909
 173  0.61812 0.00000  0.60956 0.05909
 174  0.61646 0.00000  0.60948 0.05908
 175  0.61601 0.00000  0.60948 0.05908
 176  0.61797 0.00000  0.60948 0.05907
 177  0.61651 0.00000  0.60949 0.05907
 178  0.61150 0.00000  0.60942 0.05906
 179  0.62525 0.00000  0.60948 0.05905
 180  0.61948 0.00000  0.60942 0.05905
 181  0.62097 0.00000  0.60942 0.05905
 182  0.61949 0.00000  0.60943 0.05904
 183  0.61707 0.00000  0.60944 0.05904
 184  0.61222 0.00000  0.60938 0.05904
 185  0.61653 0.00000  0.60931 0.05903
 186  0.61706 0.00000  0.60927 0.05903
 187  0.60955 0.00000  0.60930 0.05902
