loading data...Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.98464 0.00000  0.97253 0.33025
   1  0.96923 0.00000  0.96229 0.32805
   2  0.96678 0.00000  0.95823 0.32743
   3  0.96026 0.00000  0.95606 0.32697
   4  0.96300 0.00000  0.95524 0.32680
   5  0.96439 0.00000  0.95470 0.32669
   6  0.96211 0.00000  0.95424 0.32652
   7  0.96409 0.00000  0.95393 0.32646
   8  0.95839 0.00000  0.95368 0.32626
   9  0.96314 0.00000  0.95353 0.32617
  10  0.96176 0.00000  0.95343 0.32605
  11  0.96119 0.00000  0.95326 0.32596
  12  0.95692 0.00000  0.95299 0.32583
  13  0.96092 0.00000  0.95292 0.32572
  14  0.96055 0.00000  0.95289 0.32564
  15  0.95613 0.00000  0.95273 0.32550
  16  0.96129 0.00000  0.95274 0.32541
  17  0.96349 0.00000  0.95281 0.32537
  18  0.95538 0.00000  0.95258 0.32527
  19  0.95852 0.00000  0.95254 0.32520
  20  0.96597 0.00000  0.95271 0.32519
  21  0.95831 0.00000  0.95260 0.32509
  22  0.95865 0.00000  0.95249 0.32501
  23  0.95616 0.00000  0.95240 0.32493
  24  0.96156 0.00000  0.95242 0.32491
  25  0.96037 0.00000  0.95245 0.32486
  26  0.95623 0.00000  0.95235 0.32481
  27  0.95758 0.00000  0.95229 0.32475
  28  0.95405 0.00000  0.95214 0.32468
  29  0.95991 0.00000  0.95214 0.32466
  30  0.95814 0.00000  0.95215 0.32464
  31  0.95973 0.00000  0.95226 0.32460
  32  0.95933 0.00000  0.95219 0.32456
  33  0.95803 0.00000  0.95214 0.32454
  34  0.95620 0.00000  0.95205 0.32451
  35  0.95477 0.00000  0.95197 0.32447
  36  0.95728 0.00000  0.95196 0.32445
  37  0.95436 0.00000  0.95187 0.32442
  38  0.95389 0.00000  0.95180 0.32440
  39  0.95659 0.00000  0.95185 0.32436
  40  0.95960 0.00000  0.95187 0.32435
  41  0.95861 0.00000  0.95190 0.32432
  42  0.95525 0.00000  0.95184 0.32430
  43  0.96459 0.00000  0.95203 0.32429
  44  0.96052 0.00000  0.95206 0.32427
  45  0.95478 0.00000  0.95192 0.32424
  46  0.95803 0.00000  0.95194 0.32420
